timestep,total_throughput,agent_0_path,agent_0_cwnd,agent_1_path,agent_1_cwnd,agent_2_path,agent_2_cwnd,agent_3_path,agent_3_cwnd,agent_4_path,agent_4_cwnd,agent_5_path,agent_5_cwnd,agent_6_path,agent_6_cwnd,agent_7_path,agent_7_cwnd,agent_8_path,agent_8_cwnd,agent_9_path,agent_9_cwnd,agent_10_path,agent_10_cwnd,agent_11_path,agent_11_cwnd,agent_12_path,agent_12_cwnd,agent_13_path,agent_13_cwnd,agent_14_path,agent_14_cwnd,agent_15_path,agent_15_cwnd,agent_16_path,agent_16_cwnd,agent_17_path,agent_17_cwnd,agent_18_path,agent_18_cwnd,agent_19_path,agent_19_cwnd,agent_20_path,agent_20_cwnd,agent_21_path,agent_21_cwnd,agent_22_path,agent_22_cwnd,agent_23_path,agent_23_cwnd,agent_24_path,agent_24_cwnd,path_1_load,path_2_load,path_3_load,path_1_loss,path_2_loss,path_3_loss,total_loss
31,83.39467485162423,path_1,3.5,path_1,3.84,path_1,3.78,path_1,2.0,path_1,3.5,path_1,3.75,path_1,3.75,path_1,3.0,path_1,2.0,path_1,2.0,path_2,2.0,path_1,3.62,path_1,2.0,path_1,3.85,path_1,3.75,path_1,3.84,path_1,3.62,path_1,3.84,path_1,3.62,path_1,3.25,path_1,3.81,path_1,3.5,path_1,3.85,path_1,3.85,path_1,3.86,59.18,2.0,0,0.0,0.0,0.0,0.0
32,104.55483110162423,path_1,4.5,path_3,2.0,path_1,4.78,path_1,3.0,path_1,4.5,path_1,4.75,path_1,4.75,path_1,4.0,path_1,3.0,path_1,3.0,path_1,2.0,path_1,4.62,path_1,3.0,path_1,4.85,path_1,4.75,path_1,4.84,path_1,4.62,path_1,4.84,path_1,4.62,path_1,4.25,path_1,4.81,path_1,4.5,path_1,4.85,path_1,4.85,path_1,4.86,81.39,2.0,0,0.0,0.0,0.0,0.0
33,52.964915550812115,path_1,2.25,path_1,2.0,path_1,2.39,path_1,1.5,path_1,2.25,path_1,2.38,path_1,2.38,path_1,2.0,path_1,1.5,path_1,1.5,path_1,1.0,path_3,2.0,path_1,1.5,path_1,2.42,path_1,2.38,path_1,2.42,path_1,2.31,path_1,2.42,path_1,2.31,path_1,2.12,path_1,2.41,path_1,2.25,path_1,2.42,path_1,2.42,path_1,2.43,102.55,0,2.0,2.55,0.0,0.0,2.55
34,73.08991555081212,path_1,3.25,path_1,3.0,path_1,3.39,path_1,2.5,path_3,2.0,path_1,3.38,path_1,3.38,path_1,3.0,path_1,2.5,path_1,2.5,path_1,2.0,path_1,2.0,path_1,2.5,path_1,3.42,path_2,2.0,path_1,3.42,path_1,3.31,path_1,3.42,path_1,3.31,path_1,3.12,path_1,3.41,path_3,2.0,path_1,3.42,path_1,3.42,path_1,3.43,50.96,0,2.0,0.0,0.0,0.0,0.0
35,95.08991555081212,path_1,4.25,path_1,4.0,path_1,4.39,path_1,3.5,path_1,2.0,path_1,4.38,path_1,4.38,path_1,4.0,path_1,3.5,path_1,3.5,path_1,3.0,path_1,3.0,path_1,3.5,path_1,4.42,path_1,2.0,path_1,4.42,path_1,4.31,path_1,4.42,path_1,4.31,path_1,4.12,path_1,4.41,path_1,2.0,path_1,4.42,path_1,4.42,path_1,4.43,67.09,2.0,4.0,0.0,0.0,0.0,0.0
36,115.77741555081212,path_1,5.25,path_1,5.0,path_1,5.39,path_1,4.5,path_1,3.0,path_1,5.38,path_1,5.38,path_1,5.0,path_1,4.5,path_1,4.5,path_1,4.0,path_1,4.0,path_1,4.5,path_1,5.42,path_1,3.0,path_1,5.42,path_1,5.31,path_1,5.42,path_2,2.0,path_1,5.12,path_1,5.41,path_3,2.0,path_1,5.42,path_1,5.42,path_1,5.43,95.09,0,0,0.0,0.0,0.0,0.0
37,58.55277027540606,path_2,2.0,path_1,2.5,path_1,2.7,path_1,2.25,path_1,1.5,path_1,2.69,path_1,2.69,path_1,2.5,path_1,2.25,path_1,2.25,path_1,2.0,path_1,2.0,path_1,2.25,path_1,2.71,path_1,1.5,path_2,2.0,path_1,2.66,path_1,2.71,path_1,2.0,path_1,2.56,path_1,2.7,path_1,2.0,path_1,2.71,path_1,2.71,path_1,2.71,111.78,2.0,2.0,11.78,0.0,0.0,11.78
38,80.30277027540606,path_1,2.0,path_1,3.5,path_1,3.7,path_1,3.25,path_1,2.5,path_1,3.69,path_1,3.69,path_1,3.5,path_2,2.0,path_1,3.25,path_1,3.0,path_1,3.0,path_1,3.25,path_1,3.71,path_1,2.5,path_1,2.0,path_1,3.66,path_1,3.71,path_1,3.0,path_1,3.56,path_1,3.7,path_1,3.0,path_1,3.71,path_1,3.71,path_1,3.71,54.55,4.0,0,0.0,0.0,0.0,0.0
39,104.30277027540606,path_1,3.0,path_1,4.5,path_1,4.7,path_1,4.25,path_1,3.5,path_1,4.69,path_1,4.69,path_1,4.5,path_1,2.0,path_1,4.25,path_1,4.0,path_1,4.0,path_1,4.25,path_1,4.71,path_1,3.5,path_1,3.0,path_1,4.66,path_1,4.71,path_1,4.0,path_1,4.56,path_1,4.7,path_1,4.0,path_1,4.71,path_1,4.71,path_1,4.71,78.3,2.0,0,0.0,0.0,0.0,0.0
40,52.02638513770303,path_1,1.5,path_2,2.0,path_1,2.35,path_1,2.12,path_2,2.0,path_1,2.34,path_1,2.34,path_1,2.25,path_1,1.0,path_1,2.12,path_1,2.0,path_1,2.0,path_3,2.0,path_1,2.36,path_1,1.75,path_1,1.5,path_1,2.33,path_1,2.36,path_1,2.0,path_1,2.28,path_1,2.35,path_1,2.0,path_1,2.36,path_1,2.36,path_1,2.36,104.3,0,0,4.3,0.0,0.0,4.3
41,74.02638513770303,path_1,2.5,path_1,2.0,path_1,3.35,path_1,3.12,path_1,2.0,path_1,3.34,path_1,3.34,path_1,3.25,path_1,2.0,path_1,3.12,path_1,3.0,path_1,3.0,path_1,2.0,path_1,3.36,path_1,2.75,path_1,2.5,path_1,3.33,path_1,3.36,path_1,3.0,path_1,3.28,path_1,3.35,path_1,3.0,path_1,3.36,path_1,3.36,path_1,3.36,46.03,4.0,2.0,0.0,0.0,0.0,0.0
42,95.40138513770303,path_1,3.5,path_1,3.0,path_1,4.35,path_3,2.0,path_1,3.0,path_1,4.34,path_1,4.34,path_1,4.25,path_1,3.0,path_1,4.12,path_1,4.0,path_1,4.0,path_1,3.0,path_1,4.36,path_1,3.75,path_2,2.0,path_1,4.33,path_1,4.36,path_1,4.0,path_1,4.28,path_1,4.35,path_1,4.0,path_1,4.36,path_1,4.36,path_1,4.36,74.03,0,0,0.0,0.0,0.0,0.0
43,116.04542810645303,path_1,4.5,path_1,4.0,path_1,5.35,path_1,2.0,path_1,4.0,path_1,5.34,path_1,5.34,path_1,5.25,path_1,4.0,path_1,5.12,path_1,5.0,path_1,5.0,path_1,4.0,path_1,5.36,path_1,4.75,path_2,3.0,path_1,5.33,path_1,5.36,path_1,5.0,path_1,5.28,path_1,5.35,path_1,5.0,path_2,2.0,path_1,5.36,path_1,5.36,91.4,2.0,2.0,0.0,0.0,0.0,0.0
44,58.344979678226515,path_1,2.25,path_1,2.0,path_1,2.67,path_1,1.0,path_1,2.0,path_1,2.67,path_1,2.67,path_1,2.62,path_1,2.0,path_1,2.56,path_2,2.0,path_1,2.5,path_1,2.0,path_1,2.68,path_1,2.38,path_1,2.0,path_1,2.66,path_2,2.0,path_1,2.5,path_1,2.64,path_1,2.68,path_1,2.5,path_1,2.0,path_1,2.68,path_1,2.68,111.05,5.0,0,11.05,0.0,0.0,11.05
45,78.66700116260151,path_1,3.25,path_3,2.0,path_1,3.67,path_1,2.0,path_1,3.0,path_1,3.67,path_1,3.67,path_1,3.62,path_1,3.0,path_1,3.56,path_1,2.0,path_1,3.5,path_1,3.0,path_1,3.68,path_1,3.38,path_1,3.0,path_1,3.66,path_1,2.0,path_1,3.5,path_1,3.64,path_1,3.68,path_1,3.5,path_1,3.0,path_2,2.0,path_1,3.68,54.34,4.0,0,0.0,0.0,0.0,0.0
46,98.988525390625,path_1,4.25,path_1,2.0,path_1,4.67,path_1,3.0,path_1,4.0,path_1,4.67,path_1,4.67,path_1,4.62,path_1,4.0,path_1,4.56,path_1,3.0,path_1,4.5,path_1,4.0,path_1,4.68,path_1,4.38,path_1,4.0,path_1,4.66,path_1,3.0,path_1,4.5,path_1,4.64,path_1,4.68,path_1,4.5,path_1,4.0,path_1,2.0,path_2,2.0,74.67,2.0,2.0,0.0,0.0,0.0,0.0
47,115.683837890625,path_1,5.25,path_1,3.0,path_1,5.67,path_1,4.0,path_1,5.0,path_1,5.67,path_1,5.67,path_1,5.62,path_1,5.0,path_1,5.56,path_1,4.0,path_1,5.5,path_1,5.0,path_1,5.68,path_1,5.38,path_1,5.0,path_3,2.0,path_1,4.0,path_1,5.5,path_3,2.0,path_1,5.68,path_1,5.5,path_1,5.0,path_1,3.0,path_1,2.0,96.99,2.0,0,0.0,0.0,0.0,0.0
48,58.1690673828125,path_1,2.62,path_1,1.5,path_3,2.0,path_1,2.0,path_1,2.5,path_2,2.0,path_1,2.84,path_1,2.81,path_1,2.5,path_1,2.78,path_1,2.0,path_1,2.75,path_1,2.5,path_1,2.84,path_1,2.69,path_1,2.5,path_1,2.0,path_1,2.0,path_1,2.75,path_1,2.0,path_1,2.84,path_1,2.75,path_1,2.5,path_1,1.5,path_1,1.0,111.68,0,4.0,11.68,0.0,0.0,11.68
49,76.8878173828125,path_1,3.62,path_1,2.5,path_1,2.0,path_1,3.0,path_1,3.5,path_1,2.0,path_1,3.84,path_1,3.81,path_2,2.0,path_3,2.0,path_2,2.0,path_1,3.75,path_1,3.5,path_1,3.84,path_1,3.69,path_1,3.5,path_1,3.0,path_1,3.0,path_1,3.75,path_1,3.0,path_1,3.84,path_1,3.75,path_1,3.5,path_1,2.5,path_1,2.0,54.17,2.0,2.0,0.0,0.0,0.0,0.0
50,93.6378173828125,path_1,4.62,path_1,3.5,path_1,3.0,path_1,4.0,path_1,4.5,path_1,3.0,path_1,4.84,path_1,4.81,path_1,2.0,path_1,2.0,path_1,2.0,path_1,4.75,path_3,2.0,path_1,4.84,path_1,4.69,path_1,4.5,path_1,4.0,path_1,4.0,path_2,2.0,path_1,4.0,path_1,4.84,path_1,4.75,path_1,4.5,path_1,3.5,path_1,3.0,70.89,4.0,2.0,0.0,0.0,0.0,0.0
