timestep,total_throughput,agent_0_path,agent_0_cwnd,agent_1_path,agent_1_cwnd,agent_2_path,agent_2_cwnd,agent_3_path,agent_3_cwnd,agent_4_path,agent_4_cwnd,agent_5_path,agent_5_cwnd,agent_6_path,agent_6_cwnd,agent_7_path,agent_7_cwnd,agent_8_path,agent_8_cwnd,agent_9_path,agent_9_cwnd,path_1_load,path_2_load,path_1_loss,path_2_loss,total_loss
57,150.30461517078638,path_1,15.0,path_1,15.14,path_1,15.0,path_1,15.0,path_1,15.02,path_1,15.0,path_1,15.14,path_1,15.0,path_1,15.0,path_1,15.0,140.3,0,0.0,0.0,0.0
58,160.30461517078638,path_1,16.0,path_1,16.14,path_1,16.0,path_1,16.0,path_1,16.02,path_1,16.0,path_1,16.14,path_1,16.0,path_1,16.0,path_1,16.0,150.3,0,0.0,0.0,0.0
59,170.30461517078638,path_1,17.0,path_1,17.14,path_1,17.0,path_1,17.0,path_1,17.02,path_1,17.0,path_1,17.14,path_1,17.0,path_1,17.0,path_1,17.0,160.3,0,0.0,0.0,0.0
60,180.30461517078638,path_1,18.0,path_1,18.14,path_1,18.0,path_1,18.0,path_1,18.02,path_1,18.0,path_1,18.14,path_1,18.0,path_1,18.0,path_1,18.0,170.3,0,0.0,0.0,0.0
61,190.30461517078638,path_1,19.0,path_1,19.14,path_1,19.0,path_1,19.0,path_1,19.02,path_1,19.0,path_1,19.14,path_1,19.0,path_1,19.0,path_1,19.0,180.3,0,0.0,0.0,0.0
62,200.30461517078638,path_1,20.0,path_1,20.14,path_1,20.0,path_1,20.0,path_1,20.02,path_1,20.0,path_1,20.14,path_1,20.0,path_1,20.0,path_1,20.0,190.3,0,0.0,0.0,0.0
63,100.15230758539319,path_1,10.0,path_1,10.07,path_1,10.0,path_1,10.0,path_1,10.01,path_1,10.0,path_1,10.07,path_1,10.0,path_1,10.0,path_1,10.0,200.3,0,0.3,0.0,0.3
64,110.15230758539319,path_1,11.0,path_1,11.07,path_1,11.0,path_1,11.0,path_1,11.01,path_1,11.0,path_1,11.07,path_1,11.0,path_1,11.0,path_1,11.0,100.15,0,0.0,0.0,0.0
65,120.15230758539319,path_1,12.0,path_1,12.07,path_1,12.0,path_1,12.0,path_1,12.01,path_1,12.0,path_1,12.07,path_1,12.0,path_1,12.0,path_1,12.0,110.15,0,0.0,0.0,0.0
66,130.15230758539317,path_1,13.0,path_1,13.07,path_1,13.0,path_1,13.0,path_1,13.01,path_1,13.0,path_1,13.07,path_1,13.0,path_1,13.0,path_1,13.0,120.15,0,0.0,0.0,0.0
